gender	height	weight	education	age	working_time_hour	working_satisfaction	salary	personal_life	frequency_of_attend_club	Bonus_month	working_participation	relationship	change_job	position	health	target
1	150.16721424550678	14.143259781178834	3	15	8	1	27313	1	4	17	1	6	1	5	1	True
0	152.32419560326008	71.85584014954718	3	79	9	3	32405	3	2	17	1	6	2	2	1	False
1	173.95162805046994	73.45932351938586	2	40	12	4	33595	4	1	6	2	3	1	4	3	True
0	187.0809201268056	53.85379144410926	4	76	5	5	50660	1	2	20	5	4	1	4	1	False
1	136.64629325380577	27.983089647135635	3	82	8	2	41601	4	4	23	4	10	3	4	1	False
0	191.55966819994316	29.373170537786635	3	52	2	3	46460	1	2	13	2	10	0	3	1	True
0	164.41140065141468	24.340943291144235	2	46	6	3	19299	2	1	19	3	4	1	3	1	False
0	207.09851417573026	94.79636380915001	3	15	5	4	13049	2	3	21	5	2	0	3	1	False
1	190.8991587556157	74.05622535714846	3	30	7	1	23821	2	4	8	5	7	3	3	3	False
0	150.44539512265968	54.69988232144515	1	29	16	4	42813	1	2	17	2	7	1	2	1	False
1	184.18723920128647	37.177993430429524	1	30	10	3	54568	3	1	18	1	9	2	2	1	False
1	181.04107151793346	52.448066274838915	1	25	14	1	43000	1	3	10	4	6	3	3	1	True
1	146.59811913691337	85.86056054969598	1	93	9	5	29363	3	1	14	4	8	0	7	1	False
0	151.63153700556288	76.82922073269643	2	55	10	5	-1864	3	3	9	3	2	1	3	1	False
0	187.71288197565988	52.773810337168776	4	69	12	3	44677	3	4	21	3	7	0	2	1	False
1	148.04397491782544	55.524361554694686	2	50	9	2	30310	3	2	18	1	9	3	3	1	False
0	188.85161350272557	62.74063658275387	4	77	11	1	54907	4	2	16	1	10	2	7	1	False
0	136.26070049143783	64.0011882449624	2	17	7	3	38428	4	1	24	5	6	1	3	4	False
0	204.80943278050935	71.62599616738274	1	54	0	1	21742	3	4	4	3	10	2	5	1	False
