gender	height	weight	education	age	working_time_hour	working_satisfaction	salary	personal_life	frequency_of_attend_club	Bonus_month	working_participation	relationship	change_job	position	health	target
1	187.2850888983583	45.96908453391859	1	54	7	2	41486	1	4	2	5	5	1	3	4	False
0	156.91837112934553	48.41945855916702	1	14	8	2	46103	4	1	24	5	3	2	3	3	False
0	170.4227306103082	50.21854448446727	4	76	12	1	31387	2	4	2	1	7	2	5	1	False
0	203.9433453530725	77.21383713718078	3	28	11	2	52377	2	1	20	3	3	1	3	1	False
1	169.64327637277128	62.69512861906084	1	31	2	5	22122	2	2	21	2	5	3	3	1	False
1	144.30024015377	65.04728456574743	2	55	9	3	8490	1	3	4	3	7	0	2	1	False
0	177.06458170736838	90.73973340423032	1	64	9	4	41599	4	3	9	3	8	1	4	4	False
1	159.9850616203749	32.41151850658177	3	48	9	5	62332	2	2	19	2	2	0	2	1	False
1	148.88225312256608	57.918911946924176	2	36	7	5	45271	1	1	0	2	9	3	1	1	False
1	138.55592414146832	65.72077916973292	4	30	5	1	31468	2	2	21	1	5	1	2	1	False
1	156.38170587022566	75.72595707323593	5	34	8	5	32849	2	2	6	4	2	2	2	3	False
0	213.7311822602124	67.25997024070159	2	25	10	1	39324	2	1	10	4	2	3	4	1	False
0	182.55940121837764	53.96920393248054	5	43	5	4	31513	2	1	13	5	8	3	1	1	False
1	175.6664946097457	75.55301922145429	3	22	12	4	37039	3	1	16	3	7	3	5	1	False
0	172.3546420372643	81.47485631348357	2	48	3	4	41653	4	4	24	5	2	1	4	1	False
0	177.09970180218096	30.74260891896752	4	-1	8	4	56001	4	1	0	2	4	3	2	1	False
0	157.54182789829213	80.4782581205721	2	36	13	3	52598	3	3	19	5	3	2	1	4	False
1	144.1516893843381	55.413331470483186	2	34	11	2	18156	3	2	13	3	9	3	3	3	True
1	148.73860971739234	41.43831739574198	1	27	11	3	33773	4	3	2	4	2	2	3	1	False
1	169.80774358917535	61.86131027985843	4	41	7	3	48529	2	2	8	3	1	3	4	1	False
1	165.94326721489745	54.37943423835013	4	52	13	5	18236	4	3	23	5	8	3	3	1	False
0	203.23733548433324	69.90889890628218	3	60	5	1	1366	3	3	1	2	4	2	4	1	False
0	174.25739916065754	79.45209866369858	5	47	1	5	54236	3	1	19	5	10	0	4	3	False
1	134.02921160435565	57.10655246928357	4	36	4	2	31666	1	1	2	1	2	1	3	1	False
0	167.4397197866843	39.69212811265413	4	41	7	5	49385	4	3	5	1	2	2	3	1	False
0	197.93248958846092	65.86894465022597	1	48	10	1	23656	4	2	9	4	6	2	6	1	True
1	125.67965110636231	31.142094347393737	4	52	8	2	27104	4	1	2	2	4	2	1	1	False
0	156.98742724461457	88.02449382879665	5	71	9	1	32553	2	3	21	4	3	3	4	1	False
1	129.31546821019094	35.98073602205794	2	37	6	5	33883	3	4	5	5	1	2	3	1	False
1	155.839666910693	65.12390934344897	1	55	7	2	53026	1	3	11	5	7	2	6	1	False
1	174.23275299053194	38.46177272412875	5	44	10	3	42033	2	1	22	1	10	0	5	1	False
0	138.60783027143702	52.2614702940633	4	70	5	4	18871	3	1	22	2	3	0	6	1	False
0	172.8477601053501	122.83741867547846	2	54	7	1	44562	2	1	2	3	2	1	3	2	False
0	194.42701847001564	48.22870024355425	4	49	10	3	65587	2	1	12	3	3	0	6	1	False
1	162.70035569416984	42.4157281939564	4	95	14	2	16319	2	2	14	2	2	3	4	1	True
1	174.53058597064245	43.74044279196134	4	49	9	5	53483	1	4	6	3	3	3	3	1	False
1	183.1160812117039	62.222502174212934	3	36	4	3	33408	4	4	23	1	7	1	2	3	False
0	182.35140754712796	79.68588343795324	2	71	5	5	65393	1	3	1	4	6	0	3	2	False
0	158.5631393009901	38.09789433959955	5	55	12	3	24046	3	1	16	1	1	0	3	2	True
1	182.80951083912083	35.31281704100272	1	34	7	2	41263	1	1	5	2	2	1	3	1	True
0	171.52453602203022	81.50429517112052	2	49	7	4	42799	3	1	20	2	2	2	3	1	False
1	158.17178804998045	60.88629166600774	3	50	8	1	39748	3	4	3	1	2	0	2	1	True
0	199.24188830352819	70.7851658258675	4	36	9	2	52104	2	4	20	3	7	3	2	2	True
1	139.20373902184386	85.71571963953888	2	34	12	3	49306	2	3	5	5	4	2	4	3	False
0	179.9244749670717	34.19595066211064	4	68	4	5	35936	3	2	7	3	9	0	2	1	False
0	213.4828988591047	49.404509506475705	3	26	10	2	78981	2	1	24	3	2	3	3	3	False
0	164.77327242562924	72.77526183311736	5	37	9	1	50225	1	1	18	3	5	0	3	1	False
1	174.46178890888396	53.2971072422045	2	19	9	2	56935	1	4	3	3	1	0	2	1	False
